# energy [hartree]:-73.8396768405
# iterations before stopping: 18
#Runtime settings
#number of atoms: 40
#electronic configuration: [2 2 1 1]
#wiegner seitz radious: 3.93
#R_c: 13.440410940878838
#beta: 0.25

#r	rho	potential
11.22	0.00397744107369	-0.275976703493
11.24	0.00396029338552	-0.275871486921
11.26	0.00394286917334	-0.27575839321
11.28	0.00392517111218	-0.275637336681
11.3	0.00390720198396	-0.27550823187
11.32	0.00388896467626	-0.275370993544
11.34	0.00387046218113	-0.275225536722
11.36	0.00385169759375	-0.275071776695
11.38	0.0038326741111	-0.274909629041
11.4	0.0038133950305	-0.274739009649
11.42	0.00379386374811	-0.274559834735
11.44	0.00377408375738	-0.274372020864
11.46	0.00375405864742	-0.27417548497
11.48	0.00373379210134	-0.273970144373
11.5	0.00371328789445	-0.273755916804
11.52	0.0036925498925	-0.273532720419
11.54	0.00367158204982	-0.273300473827
11.56	0.00365038840734	-0.273059096102
11.58	0.00362897309069	-0.272808506809
11.6	0.00360734030811	-0.272548626025
11.62	0.00358549434839	-0.272279374354
11.64	0.00356343957875	-0.272000672955
11.66	0.00354118044259	-0.271712443555
11.68	0.00351872145734	-0.271414608476
11.7	0.0034960672121	-0.271107090652
11.72	0.00347322236536	-0.270789813652
11.74	0.00345019164261	-0.270462701698
11.76	0.00342697983392	-0.270125679686
11.78	0.0034035917915	-0.269778673211
11.8	0.00338003242718	-0.269421608578
11.82	0.00335630670992	-0.269054412834
11.84	0.00333241966321	-0.268677013778
11.86	0.00330837636249	-0.268289339987
11.88	0.0032841819325	-0.267891320837
11.9	0.00325984154465	-0.267482886515
11.92	0.00323536041434	-0.267063968051
11.94	0.0032107437982	-0.266634497324
11.96	0.00318599699142	-0.266194407095
11.98	0.00316112532496	-0.265743631014
12.0	0.00313613416281	-0.265282103649
12.02	0.00311102889916	-0.264809760498
12.04	0.00308581495564	-0.264326538011
12.06	0.00306049777849	-0.263832373608
12.08	0.00303508283575	-0.263327205698
12.1	0.00300957561442	-0.262810973695
12.12	0.00298398161763	-0.262283618035
12.14	0.00295830636181	-0.261745080199
12.16	0.00293255537384	-0.261195302723
12.18	0.00290673418824	-0.260634229219
12.2	0.0028808483443	-0.260061804391
12.22	0.0028549033833	-0.259477974051
12.24	0.00282890484566	-0.258882685135
12.26	0.00280285826817	-0.258275885718
12.28	0.00277676918115	-0.257657525029
12.3	0.0027506431057	-0.257027553468
12.32	0.00272448555097	-0.256385922618
12.34	0.00269830201136	-0.255732585261
12.36	0.00267209796385	-0.255067495391
12.38	0.00264587886527	-0.254390608225
12.4	0.00261965014965	-0.253701880221
12.42	0.00259341722561	-0.253001269088
12.44	0.00256718547367	-0.252288733795
12.46	0.00254096024374	-0.25156423459
12.48	0.00251474685258	-0.250827733003
12.5	0.00248855058121	-0.250079191863
12.52	0.00246237667254	-0.249318575307
12.54	0.00243623032888	-0.248545848789
12.56	0.00241011670954	-0.247760979088
12.58	0.00238404092853	-0.246963934321
12.6	0.00235800805223	-0.246154683949
12.62	0.00233202309713	-0.245333198786
12.64	0.00230609102762	-0.244499451007
